"日期","省份","城市/来源","新增确诊","疑似确诊","痊愈","死亡"
"20200101","湖北省","武汉市","43","0","0","0"
"20200102","湖北省","武汉市","44","0","0","0"
"20200103","湖北省","武汉市","41","0","0","0"
"20200104","湖北省","武汉市","41","0","0","0"
"20200105","湖北省","武汉市","41","0","0","0"
"20200106","湖北省","武汉市","41","0","0","0"
"20200107","湖北省","武汉市","41","0","0","0"
"20200108","湖北省","武汉市","41","0","0","0"
"20200109","湖北省","武汉市","41","0","0","0"
"20200110","湖北省","武汉市","41","0","2","1"
"20200111","湖北省","武汉市","41","0","6","1"
"20200112","湖北省","武汉市","41","0","7","1"
"20200113","湖北省","武汉市","41","0","7","1"
"20200114","湖北省","武汉市","41","0","7","1"
"20200115","湖北省","武汉市","41","0","12","2"
"20200116","湖北省","武汉市","45","0","15","2"
"20200117","湖北省","武汉市","62","0","19","2"
"20200118","湖北省","武汉市","121","0","24","3"
"20200119","湖北省","武汉市","198","0","25","3"
"20200119","广东省","深圳市","1","0","0","0"
"20200120","上海市","外地来沪","1","0","0","0"
"20200121","北京市","武汉来京","1","0","0","0"
"20200121","北京市","西城区","1","0","0","0"
"20200121","北京市","丰台区","1","0","0","0"
"20200121","北京市","海淀区","2","0","0","0"
"20200121","北京市","通州区","1","0","0","0"
"20200121","北京市","昌平区","2","0","0","0"
"20200121","北京市","大兴区","2","0","0","0"
"20200121","黑龙江省","牡丹江市","0","1","0","0"
"20200121","浙江省","杭州市","1","0","0","0"
"20200121","浙江省","温州市","2","0","0","0"
"20200121","浙江省","舟山市","1","0","0","0"
"20200121","浙江省","台州市","1","0","0","0"
"20200121","安徽省","合肥市","0","1","0","0"
"20200121","江西省","萍乡市","1","0","0","0"
"20200121","江西省","抚州市","1","0","0","0"
"20200121","山东省","青岛市","1","0","0","0"
"20200121","河南省","郑州市","1","0","0","0"
"20200121","湖南省","长沙市","1","0","0","0"
"20200121","广东省","广州市","2","0","0","0"
"20200121","广东省","韶关市","2","0","0","0"
"20200121","广东省","深圳市","14","0","0","0"
"20200121","广东省","珠海市","4","0","0","0"
"20200121","广东省","佛山市","1","0","0","0"
"20200121","广东省","湛江市","2","0","0","0"
"20200121","广东省","惠州市","1","0","0","0"
"20200121","重庆市","万州区","2","0","0","0"
"20200121","重庆市","长寿区","1","0","0","0"
"20200121","重庆市","巫山县","2","0","0","0"
"20200121","四川省","成都市","1","3","0","0"
"20200121","四川省","绵阳市","0","2","0","0"
"20200121","四川省","广安市","1","0","0","0"
"20200121","贵州省","贵阳市","0","1","0","0"
"20200122","北京市","武汉来京","2","0","0","0"
"20200122","北京市","西城区","2","0","0","0"
"20200122","北京市","朝阳区","1","0","0","0"
"20200122","北京市","丰台区","1","0","0","0"
"20200122","北京市","石景山区","1","0","0","0"
"20200122","北京市","海淀区","2","0","0","0"
"20200122","北京市","通州区","1","0","0","0"
"20200122","北京市","昌平区","2","0","0","0"
"20200122","北京市","大兴区","2","0","0","0"
"20200122","河北省","石家庄市","1","0","0","0"
"20200122","山西省","太原市","1","0","0","0"
"20200122","辽宁省","沈阳市","1","0","0","0"
"20200122","辽宁省","大连市","1","0","0","0"
"20200122","吉林省","长春市","1","0","0","0"
"20200122","黑龙江省","牡丹江市","1","0","0","0"
"20200122","江苏省","苏州市","1","0","0","0"
"20200122","浙江省","杭州市","1","0","0","0"
"20200122","浙江省","宁波市","3","0","0","0"
"20200122","浙江省","温州市","4","0","0","0"
"20200122","浙江省","舟山市","1","0","0","0"
"20200122","浙江省","台州市","1","0","0","0"
"20200122","安徽省","合肥市","1","3","0","0"
"20200122","安徽省","六安市","0","1","0","0"
"20200122","福建省","福州市","1","0","0","0"
"20200122","江西省","南昌市","1","0","0","0"
"20200122","江西省","萍乡市","1","0","0","0"
"20200122","江西省","抚州市","1","0","0","0"
"20200122","山东省","青岛市","3","0","0","0"
"20200122","山东省","威海市","1","0","0","0"
"20200122","山东省","临沂市","2","0","0","0"
"20200122","河南省","郑州市","2","0","0","0"
"20200122","河南省","巩义市","1","0","0","0"
"20200122","河南省","洛阳市","1","0","0","0"
"20200122","河南省","三门峡市","1","0","0","0"
"20200122","湖南省","长沙市","1","0","0","0"
"20200122","湖南省","怀化市","3","0","0","0"
"20200122","广东省","广州市","5","0","0","0"
"20200122","广东省","韶关市","2","0","0","0"
"20200122","广东省","深圳市","15","0","0","0"
"20200122","广东省","珠海市","4","0","0","0"
"20200122","广东省","佛山市","1","0","0","0"
"20200122","广东省","湛江市","2","0","0","0"
"20200122","广东省","肇庆市","1","0","0","0"
"20200122","广东省","惠州市","1","0","0","0"
"20200122","广东省","中山市","1","0","0","0"
"20200122","广西壮族自治区","柳州市","0","1","0","0"
"20200122","广西壮族自治区","梧州市","1","0","0","0"
"20200122","广西壮族自治区","北海市","1","0","0","0"
"20200122","海南省","海口市","1","10","0","0"
"20200122","海南省","三亚市","2","8","0","0"
"20200122","海南省","儋州市","0","3","0","0"
"20200122","海南省","五指山市","0","2","0","0"
"20200122","海南省","琼海市","0","1","0","0"
"20200122","海南省","文昌市","0","1","0","0"
"20200122","海南省","万宁市","1","1","0","0"
"20200122","海南省","东方市","0","1","0","0"
"20200122","海南省","临高县","1","2","0","0"
"20200122","海南省","昌江黎族自治县","0","2","0","0"
"20200122","海南省","琼中黎族苗族自治县","0","1","0","0"
"20200122","重庆市","万州区","2","0","0","0"
"20200122","重庆市","涪陵区","1","0","0","0"
"20200122","重庆市","长寿区","1","0","0","0"
"20200122","重庆市","永川区","2","0","0","0"
"20200122","重庆市","垫江县","1","0","0","0"
"20200122","重庆市","巫山县","2","0","0","0"
"20200122","四川省","成都市","2","2","0","0"
"20200122","四川省","绵阳市","2","0","0","0"
"20200122","四川省","广安市","1","0","0","0"
"20200122","贵州省","贵阳市","1","0","0","0"
"20200122","贵州省","铜仁市","1","0","0","0"
"20200122","贵州省","黔南布依族苗族自治州","1","0","0","0"
"20200122","陕西省","西安市","2","0","0","0"
"20200122","陕西省","咸阳市","1","0","0","0"
"20200122","陕西省","延安市","1","0","0","0"
"20200122","宁夏回族自治区","银川市","1","0","0","0"
"20200123","北京市","外地来京","6","0","0","0"
"20200123","北京市","西城区","3","0","0","0"
"20200123","北京市","朝阳区","2","0","0","0"
"20200123","北京市","丰台区","1","0","0","0"
"20200123","北京市","石景山区","1","0","0","0"
"20200123","北京市","海淀区","3","0","0","0"
